,R1,R2,backbone_sub,ligand,NiCO2,NiACN,NiE
0,H,H,H,C(C=Nc1ccccc1)=Nc1ccccc1,[O+]#[C-]->[Ni]1(<-[C-]#[O+])<-N(=CC=N->1c1ccccc1)c1ccccc1,CC#[N+][Ni]1(C)<-N(=CC=N->1c1ccccc1)c1ccccc1,C[Ni]12(<-N(=CC=N->1c1ccccc1)c1ccccc1)CC2
1,C,H,H,Cc1cccc(C)c1N=CC=Nc1c(C)cccc1C,Cc1cccc(C)c1N1=CC=N(c2c(C)cccc2C)->[Ni]<-1(<-[C-]#[O+])<-[C-]#[O+],CC#[N+][Ni]1(C)<-N(=CC=N->1c1c(C)cccc1C)c1c(C)cccc1C,Cc1cccc(C)c1N1=CC=N(c2c(C)cccc2C)->[Ni]<-12(C)CC2
2,F,H,H,Fc1cccc(F)c1N=CC=Nc1c(F)cccc1F,[O+]#[C-]->[Ni]1(<-[C-]#[O+])<-N(=CC=N->1c1c(F)cccc1F)c1c(F)cccc1F,CC#[N+][Ni]1(C)<-N(=CC=N->1c1c(F)cccc1F)c1c(F)cccc1F,C[Ni]12(<-N(=CC=N->1c1c(F)cccc1F)c1c(F)cccc1F)CC2
3,Br,H,H,Brc1cccc(Br)c1N=CC=Nc1c(Br)cccc1Br,[O+]#[C-]->[Ni]1(<-[C-]#[O+])<-N(=CC=N->1c1c(Br)cccc1Br)c1c(Br)cccc1Br,CC#[N+][Ni]1(C)<-N(=CC=N->1c1c(Br)cccc1Br)c1c(Br)cccc1Br,C[Ni]12(<-N(=CC=N->1c1c(Br)cccc1Br)c1c(Br)cccc1Br)CC2
4,C#N,H,H,N#Cc1cccc(C#N)c1N=CC=Nc1c(C#N)cccc1C#N,N#Cc1cccc(C#N)c1N1=CC=N(c2c(C#N)cccc2C#N)->[Ni]<-1(<-[C-]#[O+])<-[C-]#[O+],CC#[N+][Ni]1(C)<-N(=CC=N->1c1c(C#N)cccc1C#N)c1c(C#N)cccc1C#N,C[Ni]12(<-N(=CC=N->1c1c(C#N)cccc1C#N)c1c(C#N)cccc1C#N)CC2
5,OC,H,H,COc1cccc(OC)c1N=CC=Nc1c(OC)cccc1OC,COc1cccc(OC)c1N1=CC=N(c2c(OC)cccc2OC)->[Ni]<-1(<-[C-]#[O+])<-[C-]#[O+],CC#[N+][Ni]1(C)<-N(=CC=N->1c1c(OC)cccc1OC)c1c(OC)cccc1OC,COc1cccc(OC)c1N1=CC=N(c2c(OC)cccc2OC)->[Ni]<-12(C)CC2
6,C(F)(F)F,H,H,FC(F)(F)c1cccc(C(F)(F)F)c1N=CC=Nc1c(C(F)(F)F)cccc1C(F)(F)F,[O+]#[C-]->[Ni]1(<-[C-]#[O+])<-N(=CC=N->1c1c(C(F)(F)F)cccc1C(F)(F)F)c1c(C(F)(F)F)cccc1C(F)(F)F,CC#[N+][Ni]1(C)<-N(=CC=N->1c1c(C(F)(F)F)cccc1C(F)(F)F)c1c(C(F)(F)F)cccc1C(F)(F)F,C[Ni]12(<-N(=CC=N->1c1c(C(F)(F)F)cccc1C(F)(F)F)c1c(C(F)(F)F)cccc1C(F)(F)F)CC2
7,N(C)C,H,H,CN(C)c1cccc(N(C)C)c1N=CC=Nc1c(N(C)C)cccc1N(C)C,CN(C)c1cccc(N(C)C)c1N1=CC=N(c2c(N(C)C)cccc2N(C)C)->[Ni]<-1(<-[C-]#[O+])<-[C-]#[O+],CC#[N+][Ni]1(C)<-N(=CC=N->1c1c(N(C)C)cccc1N(C)C)c1c(N(C)C)cccc1N(C)C,CN(C)c1cccc(N(C)C)c1N1=CC=N(c2c(N(C)C)cccc2N(C)C)->[Ni]<-12(C)CC2
8,C(C)C,H,H,CC(C)c1cccc(C(C)C)c1N=CC=Nc1c(C(C)C)cccc1C(C)C,CC(C)c1cccc(C(C)C)c1N1=CC=N(c2c(C(C)C)cccc2C(C)C)->[Ni]<-1(<-[C-]#[O+])<-[C-]#[O+],CC#[N+][Ni]1(C)<-N(=CC=N->1c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,CC(C)c1cccc(C(C)C)c1N1=CC=N(c2c(C(C)C)cccc2C(C)C)->[Ni]<-12(C)CC2
9,N(=O)=O,H,H,O=[N+]([O-])c1cccc([N+](=O)[O-])c1N=CC=Nc1c([N+](=O)[O-])cccc1[N+](=O)[O-],O=[N+]([O-])c1cccc([N+](=O)[O-])c1N1=CC=N(c2c([N+](=O)[O-])cccc2[N+](=O)[O-])->[Ni]<-1(<-[C-]#[O+])<-[C-]#[O+],CC#[N+][Ni]1(C)<-N(=CC=N->1c1c([N+](=O)[O-])cccc1[N+](=O)[O-])c1c([N+](=O)[O-])cccc1[N+](=O)[O-],C[Ni]12(<-N(=CC=N->1c1c([N+](=O)[O-])cccc1[N+](=O)[O-])c1c([N+](=O)[O-])cccc1[N+](=O)[O-])CC2
