,index,CID,MolecularFormula,MolecularWeight,CanonicalSMILES,Complexity
0,0,11776,C18H15P,262.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,202
1,3,27365,C6H15P,118.16,CCP(CC)CC,25
2,4,13831,C12H27P,202.32,CCCCP(CCCC)CCCC,72
3,7,13956,C21H21P,304.4,CC1=CC=C(C=C1)P(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C,263
4,10,20851,C24H51P,370.6,CCCCCCCCP(CCCCCCCC)CCCCCCCC,188
5,11,87021,C19H15O2P,306.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C(=O)O,340
6,12,621893,C17H14NP,263.27,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=N3,238
7,18,76001,C3H9O3P,124.08,C(O)P(CO)CO,31
8,19,70071,C21H21O3P,352.4,COC1=CC=C(C=C1)P(C2=CC=C(C=C2)OC)C3=CC=C(C=C3)OC,310
9,20,75806,C18H33P,280.4,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,202
10,22,119411,C9H15O6P,250.19,C(CP(CCC(=O)O)CCC(=O)O)C(=O)O,222
11,23,603962,C16H13N2P,264.26,C1=CC=C(C=C1)P(C2=CC=CC=N2)C3=CC=CC=N3,248
12,27,69082,C14H15P,214.24,CCP(C1=CC=CC=C1)C2=CC=CC=C2,148
13,28,68983,C3H9P,76.08,CP(C)C,8
14,29,80970,C18H27P,274.4,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3,226
15,30,82101,C21H21P,304.4,C1=CC=C(C=C1)CP(CC2=CC=CC=C2)CC3=CC=CC=C3,235
16,34,143061,C6H12N3P,157.15,C1N2CN3CN1CP(C2)C3,123
17,35,627824,C19H15O2P,306.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=C(C=C3)C(=O)O,332
18,36,78464,C21H21O3P,352.4,COC1=CC=CC=C1P(C2=CC=CC=C2OC)C3=CC=CC=C3OC,334
19,39,69597,C8H11P,138.15,CP(C)C1=CC=CC=C1,72
20,40,70874,C18H12Cl3P,365.6,C1=CC(=CC=C1P(C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)Cl)Cl,275
21,41,73879,C13H13P,200.22,CP(C1=CC=CC=C1)C2=CC=CC=C2,137
22,43,140387,C18H12F3P,316.3,C1=CC(=CC=C1F)P(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,275
23,44,77639,C9H12N3P,193.19,C(CP(CCC#N)CCC#N)C#N,223
24,46,80271,C21H21P,304.4,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,287
25,47,80362,C21H21P,304.4,CC1=CC(=CC=C1)P(C2=CC=CC(=C2)C)C3=CC=CC(=C3)C,287
26,49,82100,C15H17P,228.27,CCCP(C1=CC=CC=C1)C2=CC=CC=C2,160
27,50,201037,C8H11O2P,170.15,C1=CC=C(C=C1)P(CO)CO,98
28,54,74149,C10H15P,166.2,CCP(CC)C1=CC=CC=C1,91
29,55,80102,C16H19P,242.29,CC(C)(C)P(C1=CC=CC=C1)C2=CC=CC=C2,198
30,56,80969,C9H21P,160.24,CC(C)P(C(C)C)C(C)C,65
31,59,137699,C15H15P,226.25,C=CCP(C1=CC=CC=C1)C2=CC=CC=C2,182
32,62,292611,C12H19P,194.25,CCCP(CCC)C1=CC=CC=C1,110
33,63,300563,C18H10F5P,352.2,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C(=C(C(=C3F)F)F)F)F,363
34,64,316378,C14H23P,222.31,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,174
35,71,3333592,C20H20NP,305.4,CN(C)C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,292
36,72,11437688,C20H17P,288.3,C=CC1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,286
37,74,83681,C12H27P,202.32,CC(C)(C)P(C(C)(C)C)C(C)(C)C,128
38,76,121600,C18H12Cl3P,365.6,C1=CC(=CC(=C1)Cl)P(C2=CC(=CC=C2)Cl)C3=CC(=CC=C3)Cl,299
39,77,521585,C12H9O3P,232.17,C1=COC(=C1)P(C2=CC=CO2)C3=CC=CO3,198
40,94,87708,C20H29O3PSi,376.5,CCO[Si](CCP(C1=CC=CC=C1)C2=CC=CC=C2)(OCC)OCC,309
41,100,80757,C14H23P,222.31,CCCCP(CCCC)C1=CC=CC=C1,130
42,101,120481,C17H22NP,271.34,CN(C)CCCP(C1=CC=CC=C1)C2=CC=CC=C2,211
43,103,280677,C15H18NP,243.28,C1=CC=C(C=C1)P(CCCN)C2=CC=CC=C2,177
44,104,342156,C12H13N2P,216.22,C1=CC=C(C=C1)P(CCC#N)CCC#N,244
45,109,195868,C18H15O3PS,342.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC(=CC=C3)S(=O)(=O)O,443
46,111,69773,C18H14BrP,341.2,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=C(C=C3)Br,255
47,112,70575,C19H17P,276.3,CC1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,250
48,113,75226,C9H21P,160.24,CCCP(CCC)CCC,47
49,114,77831,C18H39P,286.5,CCCCCCP(CCCCCC)CCCCCC,127
